ACTIVITY,BP,HR,CIRCLUATION
3,35,249,3630
0,14,67,74
0,51,267,3889
0,92,439,6521
3,54,93,545
0,166,279,3798
2,76,104,457
5,41,105,765
4,51,294,4249
4,38,67,224
3,63,271,4426
4,33,220,3450
5,35,179,1626
5,17,72,340
0,50,339,4439
5,75,136,619
0,41,270,1643
4,100,158,1403
5,77,142,844
3,83,142,844
2,13,79,317
4,64,224,2192
4,89,163,1162
0,14,129,521
0,24,66,63
4,21,119,395
3,43,120,809
2,50,234,1581
2,20,54,165
0,322,374,6633
3,29,154,587
3,24,216,2677
0,46,244,3706
0,7,105,581
2,27,249,3630
3,44,234,2464
3,21,215,2188
2,52,67,224
0,110,223,3209
0,15,121,397
3,82,540,8870
0,32,204,1934
4,77,158,1403
5,110,205,1751
0,24,170,1467
0,59,390,6294
0,36,216,3454
0,2,110,806
0,5,82,244
2,74,104,457
5,34,223,2822
0,45,270,3130
0,43,210,2383
2,29,85,343
0,40,229,2603
2,16,79,292
4,63,315,5844
3,13,79,317
4,18,82,185
0,156,222,3290
5,24,102,516
0,36,216,1754
2,47,315,5844
3,29,86,205
3,24,247,2754
4,36,179,1626
0,60,229,2127
0,147,314,2836
0,8,68,130
3,33,174,1415
5,61,223,2822
4,25,174,1415
0,32,192,1865
5,106,171,1747
0,29,186,1414
3,41,214,1469
3,51,271,4426
0,24,169,695
3,41,254,3885
4,48,288,2334
3,26,249,3630
3,6,33,5
5,44,51,132
4,92,163,1162
0,21,284,4617
4,16,109,689
3,23,86,205
4,52,156,654
2,40,234,1581
1,6,33,5
2,20,54,165
2,96,130,490
5,58,294,4249
0,80,445,10102
2,55,271,4426
2,20,54,165
0,186,146,1308
0,206,312,5731
3,50,483,15505
3,11,196,1885
0,262,424,9408
3,86,128,693
0,10,133,803
4,85,136,619
4,29,156,654
5,61,390,7459
3,4,63,166
4,28,166,1414
5,92,176,1922
1,21,85,343
2,19,249,3630
4,36,71,249
0,52,132,658
3,68,473,14125
0,46,237,2746
2,74,449,5537
4,52,483,15505
4,70,101,249
0,66,184,1691
3,46,223,2059
3,38,157,1519
4,23,138,554
5,80,320,3466
4,57,136,619
2,26,249,3630
0,19,138,400
4,100,130,490
4,26,131,271
2,50,51,132
4,32,102,764
5,25,102,764
2,69,163,1162
4,94,33,5
4,63,254,3885
3,25,247,2754
2,13,123,621
4,29,174,1415
5,31,131,271
2,36,154,587
0,48,330,4627
3,25,249,3630
0,10,93,842
3,98,537,8350
4,15,138,554
4,39,183,931
2,29,249,3630
3,104,537,8350
2,50,93,545
3,44,67,224
4,35,166,1111
4,143,540,18067
0,47,302,2537
4,56,223,2822
4,38,138,554
4,92,33,5
3,40,272,3539
4,16,148,729
0,48,261,4517
3,92,537,8350
4,14,102,764
2,24,249,3630
3,46,315,5844
0,13,187,1928
5,88,130,694
1,22,85,343
3,46,51,132
4,92,33,5
2,42,52,133
0,37,192,1208
0,23,221,2824
5,90,151,1023
3,91,158,1403
0,72,378,4731
0,16,117,457
4,29,166,1414
2,51,234,1581
1,21,85,343
0,198,715,30042
3,70,134,970
0,47,112,292
0,92,436,3305
5,42,196,1997
0,186,753,20648
3,36,188,2599
1,23,85,343
0,309,387,5428
4,26,193,2118
5,56,214,1469
4,32,174,1415
4,34,156,654
2,16,138,554
4,19,166,1414
3,157,305,2610
3,76,234,2464
3,102,537,8350
0,16,122,429
2,41,235,4905
0,150,326,6508
3,82,128,693
3,21,196,1885
3,102,537,8350
4,94,156,1521
3,34,234,2464
3,40,67,224
2,77,104,457
0,154,782,14166
4,48,234,2464
0,85,270,3796
4,70,540,8870
4,88,136,619
4,120,209,2534
0,7,63,166
0,92,725,20240
0,3,110,166
5,81,163,1162
0,201,428,11269
5,117,171,1747
4,14,148,729
0,41,332,3638
4,70,101,249
3,21,72,340
0,63,405,4071
4,26,194,1521
3,45,223,2059
0,62,164,1019
4,11,79,317
2,24,54,165
0,236,191,2119
2,12,79,317
0,12,129,808
0,8,94,313
0,58,162,1206
0,22,145,1109
0,25,144,619
0,17,108,486
3,68,403,6746
4,34,154,587
2,91,120,809
2,9,79,292
4,30,247,2754
4,157,308,6057
4,94,156,1521
3,51,271,4426
5,30,51,102
2,15,96,804
3,39,235,4905
0,31,165,1305
4,175,362,5847
5,22,132,806
4,87,540,8870
0,46,323,4920
0,98,178,1634
3,87,403,6746
2,63,473,14125
2,30,249,3630
4,22,138,554
0,197,330,6520
5,31,262,3211
0,20,68,481
5,79,320,3466
2,24,54,165
1,17,88,292
4,123,540,18067
4,120,208,1691
2,87,163,1162
3,67,166,1414
2,15,79,317
3,23,215,2188
3,5,63,166
0,146,718,22296
0,52,365,8077
4,102,158,1403
4,11,105,765
3,119,205,1751
3,15,193,2118
0,80,327,5215
3,86,136,619
3,82,142,844
0,80,202,2124
0,64,144,844
4,40,182,1212
0,20,93,320
4,35,223,2822
2,58,107,346
3,16,166,1111
3,27,216,2677
0,70,349,5329
4,54,223,2059
3,65,136,619
0,112,231,2188
0,11,96,273
0,113,581,15338
3,50,51,132
2,10,86,205
0,47,306,2255
2,44,483,15505
3,34,157,1519
2,50,51,132
3,14,148,729
3,19,196,1885
4,27,220,3450
3,24,72,340
4,92,163,1162
0,23,149,1109
4,181,362,5847
4,31,166,1111
0,29,200,2392
0,251,388,4827
2,98,139,587
0,38,113,425
2,126,88,318
3,120,88,318
4,67,223,2059
3,39,272,3539
4,59,254,3885
4,68,473,14125
5,67,254,3885
4,69,101,249
2,30,249,3630
5,32,166,1414
3,24,220,3450
4,20,96,804
5,81,134,970
4,43,223,2822
4,46,390,7459
5,166,308,6057
0,15,157,1116
0,59,135,770
0,31,131,805
3,39,156,1364
0,112,607,16234
4,181,308,6057
0,49,311,5320
2,54,235,4905
3,47,51,132
0,94,171,1160
4,70,403,6746
3,76,142,844
0,40,291,3799
2,34,40,100
3,40,235,4905
3,34,71,249
0,230,358,7337
0,141,477,9693
3,39,483,15505
0,18,173,1524
4,75,101,249
3,7,63,166
2,11,79,317
0,533,713,24012
2,82,142,844
0,100,189,1687
4,48,234,2464
4,91,130,490
0,22,197,1519
5,27,131,271
2,126,217,2904
5,71,320,3466
4,25,156,654
4,72,176,1922
4,22,220,3450
4,35,196,1997
3,20,123,621
0,26,241,2744
0,58,349,3135
0,369,604,11142
3,69,271,4426
3,42,154,587
0,199,275,3711
0,24,148,1412
4,40,174,1415
3,27,156,1364
4,87,156,1521
4,10,79,292
0,136,728,24027
4,55,390,7459
5,120,208,1691
3,47,272,3539
4,88,172,973
5,61,254,3885
5,41,196,1997
4,44,67,224
3,33,40,100
3,24,247,2754
0,127,292,3546
4,15,132,806
3,41,235,4905
4,94,388,6290
0,62,328,3980
5,119,171,1747
3,23,109,689
3,27,247,2754
4,23,102,764
0,49,78,364
3,7,105,765
4,33,196,1997
3,118,205,1751
0,34,208,2054
4,80,145,1156
0,66,347,8206
4,72,403,6746
0,9,66,148
4,120,171,1747
0,50,298,2196
5,84,209,2534
4,71,540,8870
4,21,148,729
3,187,362,5847
4,53,224,2192
0,59,140,1061
4,30,123,621
2,48,271,4426
3,41,234,2464
0,19,74,133
4,31,166,1414
0,17,303,3459
0,88,275,4429
0,38,190,2180
3,49,271,4426
4,70,101,249
3,70,540,8870
0,119,509,13968
0,18,190,1526
2,11,79,317
4,19,174,1415
5,15,72,340
5,121,171,1747
2,11,79,317
0,33,228,1933
0,42,260,2196
3,40,215,2188
2,32,138,554
4,26,132,1513
3,82,128,693
0,9,152,1069
2,38,483,15505
5,21,76,147
0,61,403,10236
4,32,247,2754
3,62,254,3885
5,14,79,292
0,25,235,1071
4,149,540,18067
4,72,136,619
5,122,171,1747
3,18,215,2188
0,196,291,2825
4,79,176,1922
0,82,471,7842
4,47,288,2334
4,50,272,3539
1,15,88,292
0,45,284,2901
3,14,109,689
5,69,390,7459
4,75,134,970
5,47,262,3211
2,54,223,2059
3,70,483,15505
4,94,176,1922
3,59,104,457
2,98,130,490
0,32,275,2753
0,30,294,4064
0,185,400,5535
4,25,194,1521
2,13,79,317
0,161,162,1255
5,41,166,1414
0,54,410,10529
5,39,179,1626
0,71,329,3808
0,17,222,4144
5,37,180,2054
4,26,132,806
0,50,261,2328
4,25,174,1415
3,23,174,1415
2,61,473,14125
4,29,193,2118
4,168,281,4061
3,22,215,2188
0,7,95,269
0,103,153,771
2,32,54,165
3,55,223,2059
5,38,262,3211
0,104,292,2679
0,175,301,5018
3,26,188,2599
3,73,540,8870
2,75,104,457
3,17,220,3450
4,90,388,6290
2,97,130,490
4,50,93,545
4,26,166,1414
1,42,52,133
0,50,84,136
5,66,468,9276
4,144,540,18067
4,81,152,1165
0,71,507,13152
4,39,156,1364
5,127,171,1747
3,42,71,249
3,23,234,1581
4,58,540,8870
3,38,71,249
5,48,294,4249
3,25,96,804
4,69,273,2061
3,63,473,14125
0,49,381,10238
3,49,93,545
4,31,102,764
5,54,262,3211
0,31,87,483
2,20,54,165
5,16,166,1111
3,49,93,545
3,51,223,2059
0,29,161,1868
0,37,218,2390
3,76,352,6744
0,53,410,5323
2,35,154,587
0,47,299,3714
0,3,59,166
3,53,235,4905
4,29,174,1415
0,18,96,580
1,13,88,292
0,78,324,2759
4,154,281,4061
5,39,180,2054
0,82,258,2330
4,102,158,1403
3,25,220,3450
2,126,88,318
4,32,131,271
2,125,88,318
3,44,235,4905
5,18,148,729
4,99,388,6290
0,125,171,1747
2,20,54,165
0,88,146,1209
0,54,369,5536
0,55,209,1468
4,126,208,1691
0,79,331,4721
5,14,85,343
0,30,142,767
5,174,281,4061
0,32,176,1696
3,34,166,1414
0,18,123,517
3,47,235,4905
0,39,331,5532
5,35,179,1626
4,144,281,4061
2,38,483,15505
3,60,473,14125
4,39,214,1469
3,46,254,3885
3,32,156,1364
5,48,390,7459
5,27,194,1521
2,15,96,804
3,48,315,5844
3,98,537,8350
3,147,305,2610
5,55,273,2061
0,15,160,769
3,40,234,2464
5,29,149,549
3,65,403,6746
2,55,223,2059
0,237,354,4919
4,81,473,14125
3,13,109,689
0,111,472,12970
4,53,315,5844
3,34,322,4619
0,186,241,3136
3,37,154,587
3,29,247,2754
4,77,163,1162
3,82,540,8870
4,27,166,1414
3,13,105,765
3,65,473,14125
2,42,52,133
4,49,254,3885
4,62,273,2061
0,19,77,186
4,14,105,765
0,27,213,1992
4,85,156,1521
4,31,102,764
2,14,88,292
5,45,272,3539
3,27,216,2677
2,41,234,1581
0,286,131,764
3,29,166,1111
0,17,100,270
4,138,540,18067
3,35,71,249
2,51,93,545
3,64,540,8870
3,78,134,970
3,38,71,249
3,25,156,1364
3,21,123,621
2,15,138,554
5,28,262,3211
3,38,71,249
4,101,205,1751
3,40,215,2188
4,54,272,3539
5,157,109,486
3,44,315,5844
0,116,561,11745
3,19,220,3450
5,41,180,2054
0,41,165,1024
2,122,88,318
0,115,484,9688
0,12,158,1580
5,53,180,2054
2,29,234,1581
0,40,277,7201
0,35,319,5119
5,27,166,1414
1,145,247,3373
3,29,157,1519
3,21,196,1885
0,34,262,4623
2,53,223,2059
3,97,159,2181
2,6,33,5
4,20,111,453
4,20,86,205
0,109,85,342
2,54,271,4426
4,34,193,2118
0,86,582,17882
3,48,254,3885
0,94,130,490
3,42,315,5844
4,9,79,317
4,15,138,554
3,22,220,3450
0,36,396,9400
0,42,291,3217
2,75,104,457
0,296,381,6978
4,33,179,1626
3,38,154,587
0,94,419,8352
0,62,171,620
3,58,272,3539
4,71,101,249
4,61,540,8870
4,79,142,844
0,122,159,1628
0,43,288,2334
0,42,280,1938
0,63,481,9959
2,8,79,292
4,41,180,2054
2,22,234,1581
4,73,403,6746
4,57,473,14125
4,33,179,1626
2,15,79,292
3,55,271,4426
0,37,181,2181
0,11,140,554
4,92,33,5
4,52,93,545
3,82,403,6746
2,131,247,3373
0,91,482,9834
3,20,220,3450
4,18,166,1111
3,80,483,15505
0,33,236,1813
0,95,437,7837
0,34,200,1468
3,104,224,2192
2,31,249,3630
3,11,148,729
2,56,473,14125
0,35,128,769
2,16,96,804
2,78,352,6744
4,47,223,2059
0,58,349,9396
0,34,376,6518
0,138,232,2602
2,25,249,3630
4,81,172,973
0,46,190,2318
2,44,235,4905
4,18,72,340
4,42,390,7459
3,45,254,3885
0,56,214,1931
5,54,483,15505
0,63,249,2903
3,43,188,2599
2,13,123,621
0,40,248,5018
4,80,136,619
0,76,299,3801
0,28,206,2194
3,20,216,2677
3,167,308,6057
2,97,205,1751
1,23,85,343
0,151,205,1637
5,25,131,271
2,42,52,133
4,30,193,2118
0,90,629,18498
3,37,52,133
0,14,66,87
4,58,224,2192
3,45,483,15505
5,7,43,161
5,76,273,2061
0,18,154,1201
4,22,102,516
3,34,215,2188
4,81,403,6746
0,76,321,7208
4,46,156,654
4,36,174,1415
5,127,237,2672
1,24,85,343
0,24,374,7459
4,17,132,806
3,40,234,2464
5,120,171,1747
5,49,180,2054
2,36,154,587
0,30,216,2601
2,16,96,804
0,39,52,133
3,32,157,1519
4,68,540,8870
4,42,322,4619
5,35,179,1626
0,32,223,1317
3,88,120,809
1,6,33,5
0,26,238,2679
3,26,109,689
4,147,540,18067
2,82,128,693
0,392,176,1571
0,45,345,5640
3,31,166,1111
0,8,60,148
5,53,188,2599
3,166,308,6057
3,22,220,3450
0,100,317,4724
2,96,33,5
4,81,142,844
3,128,205,1751
0,154,390,8347
0,70,568,18272
0,14,101,317
5,64,107,517
4,28,193,2118
3,33,215,2188
0,34,310,6508
2,54,271,4426
3,100,158,1403
3,30,138,554
2,42,234,1581
4,69,101,249
0,28,252,3455
0,59,228,2329
4,67,273,2061
5,29,262,3211
0,26,189,1994
5,22,123,621
3,25,193,2118
4,35,179,1626
3,16,109,689
3,42,247,2754
4,22,123,621
5,4,82,185
0,50,261,4155
2,31,51,132
3,59,107,346
4,67,273,2061
0,17,126,806
0,49,279,2003
3,24,215,2188
4,49,224,2192
3,42,174,1415
1,23,249,3630
4,31,166,1414
3,82,128,693
4,38,156,654
3,34,157,1519
4,144,217,2904
0,116,275,4148
3,27,157,1519
2,71,352,6744
4,52,288,2334
2,35,52,133
5,39,180,2054
0,20,152,892
0,116,204,1070
0,60,345,7214
0,25,255,2828
0,296,346,8209
0,149,341,4441
3,98,120,809
0,34,133,487
0,31,146,1258
4,33,220,3450
3,28,156,1364
3,5,63,166
5,70,271,4426
3,16,109,689
0,13,75,187
0,64,193,1632
0,128,693,13324
2,79,163,1162
0,59,108,765
2,77,104,457
2,45,71,249
2,159,305,2610
3,21,196,1885
5,11,72,340
3,56,540,8870
5,82,145,1156
3,66,134,970
4,22,188,2599
3,12,166,1111
0,74,291,3888
4,32,216,2677
3,50,390,7459
3,91,388,6290
3,22,88,292
0,27,227,3794
2,6,79,292
4,25,182,1212
2,47,235,4905
0,42,336,8195
3,36,154,587
3,19,148,729
0,27,185,1116
4,26,174,1415
3,25,138,554
0,2,63,146
4,52,93,545
3,83,136,619
4,71,176,1922
0,107,213,2190
4,19,76,147
0,21,138,555
2,44,315,5844
2,35,235,4905
3,71,107,346
4,28,156,1364
3,60,235,4905
1,14,88,292
3,102,537,8350
0,34,360,4434
4,77,128,693
0,63,229,2254
0,14,166,1806
5,34,102,764
2,19,138,554
3,43,223,2059
2,16,79,292
0,50,273,1695
2,68,223,2059
3,46,483,15505
0,62,293,3887
0,27,265,2905
2,21,79,292
4,44,180,2054
4,15,132,806
3,33,71,249
2,140,217,2904
0,31,136,1022
1,25,249,3630
0,58,323,7333
0,90,162,1576
0,26,148,1019
3,49,93,545
4,37,180,2054
0,120,227,2059
3,49,51,132
0,45,442,8206
4,69,101,249
2,10,79,317
0,4,77,245
4,55,234,2464
4,39,136,619
0,340,515,8866
4,44,483,15505
0,49,267,3540
3,74,176,1922
4,24,51,132
0,37,174,1415
3,53,223,2059
2,98,130,490
0,53,308,5421
4,32,179,1626
3,39,188,2599
1,146,247,3373
5,44,196,1997
5,60,288,2334
3,36,247,2754
4,20,102,764
4,86,156,1521
1,14,88,292
3,39,156,1364
2,16,79,292
2,23,138,554
3,26,196,1885
2,11,79,317
4,130,208,1691
4,151,281,4061
3,47,235,4905
5,67,145,1156
4,34,322,4619
2,96,33,5
4,35,193,2118
0,54,253,1875
0,193,359,6078
3,47,273,2061
0,114,329,3978
3,20,109,689
0,22,197,2051
2,42,154,587
2,36,154,587
5,77,104,457
4,104,537,8350
2,75,104,457
4,143,540,18067
0,47,163,1207
5,44,51,132
2,42,52,133
3,47,223,2059
0,258,404,6978
5,123,171,1747
2,27,234,1581
1,20,54,165
5,60,315,5844
5,94,208,1691
4,29,194,1521
3,84,540,8870
0,50,356,6857
0,155,414,10385
3,24,156,1364
2,14,86,205
2,98,130,490
5,84,139,587
3,39,234,2464
2,12,79,317
0,16,149,585
5,13,119,395
0,29,113,653
3,103,537,8350
2,133,205,1751
0,161,597,14153
3,13,109,689
0,9,86,456
2,13,79,317
3,5,63,166
2,17,88,292
5,3,43,161
5,57,390,7459
5,40,194,1521
3,88,403,6746
3,14,220,3450
3,80,120,809
4,18,148,729
2,20,249,3630
5,9,43,161
4,24,102,764
0,22,169,1690
4,67,214,1469
3,110,205,1751
5,83,156,1521
4,125,208,1691
0,26,304,4917
1,147,247,3373
4,21,193,2118
5,114,209,2534
0,59,126,726
4,59,288,2334
0,57,344,5849
3,73,107,346
4,110,208,1691
2,116,88,318
2,28,249,3630
3,88,388,6290
0,124,641,14152
5,56,288,2334
1,16,88,292
3,31,166,1111
3,65,473,14125
3,57,272,3539
5,32,194,1521
0,19,120,486
3,60,107,346
5,93,462,11563
3,18,166,1414
2,47,51,132
4,45,234,1581
5,27,51,102
3,80,172,973
2,68,104,457
0,117,257,5517
0,49,83,187
0,61,463,10829
3,50,254,3885
3,55,215,2188
4,45,223,2822
3,57,136,619
4,17,102,764
3,35,247,2754
4,17,102,764
0,51,216,1525
3,15,109,689
5,50,180,2054
4,29,220,3450
2,130,247,3373
0,74,628,22089
0,170,288,4066
2,93,130,490
1,21,85,343
2,19,88,292
3,19,220,3450
3,15,196,1885
3,85,172,973
0,43,123,487
2,21,249,3630
2,24,93,545
3,55,107,346
3,16,196,1885
3,46,272,3539
0,33,227,3704
4,71,273,2061
2,60,271,4426
4,45,67,224
0,173,613,15012
5,38,180,2054
3,31,188,2599
4,15,132,806
2,17,79,292
1,22,85,343
3,72,388,6290
5,11,76,147
1,23,85,343
0,21,207,3708
1,14,88,292
2,12,79,317
0,40,257,4523
3,38,52,133
4,117,217,2904
0,45,345,5963
5,11,72,340
4,93,136,619
0,212,330,5852
5,52,121,808
4,23,174,1415
0,149,309,5013
0,36,146,807
0,30,171,764
4,15,132,806
0,19,112,424
5,32,108,428
2,54,67,224
0,17,108,424
5,36,194,1521
3,43,264,3217
2,28,249,3630
4,33,52,133
3,109,537,8350
0,302,368,7097
0,7,68,89
0,10,127,1355
0,4,63,117
0,15,62,88
1,6,33,5
0,17,159,1573
3,43,235,4905
3,51,271,4426
4,90,163,1162
4,35,174,1415
5,88,156,1521
5,34,179,1626
4,38,234,1581
2,42,234,1581
3,48,67,224
0,14,134,933
2,109,247,3373
3,86,537,8350
3,23,215,2188
3,24,247,2754
5,121,171,1747
0,100,480,12026
0,25,127,373
0,22,184,2119
4,92,33,5
2,122,88,318
4,77,134,970
3,41,166,1414
3,28,109,689
4,37,156,654
2,21,88,292
4,40,156,654
4,119,209,2534
0,16,260,1416
4,91,388,6290
3,47,254,3885
0,54,263,2060
3,37,154,587
4,15,132,806
0,159,299,3628
3,68,473,14125
0,23,133,1058
4,30,156,654
4,22,72,340
2,24,234,1581
4,41,138,554
3,41,196,1997
4,63,145,1156
1,21,85,343
0,27,176,1313
0,21,50,72
4,99,158,1403
2,8,105,765
4,35,156,654
4,66,145,1156
2,141,352,6744
0,252,310,3464
5,0,142,844
3,12,220,3450
5,84,120,809
0,52,299,6966
0,79,169,1310
0,5,152,618
4,23,40,100
0,45,195,1929
2,19,138,554
4,30,223,2822
0,28,104,454
5,157,109,486
5,19,166,1414
0,31,137,555
2,128,205,1751
4,22,138,554
0,49,260,2198
4,28,188,2599
3,173,308,6057
5,38,180,2054
3,51,93,545
3,15,123,621
0,35,157,889
2,96,139,587
0,67,456,15861
0,35,248,2398
2,42,234,1581
4,8,72,340
2,41,234,2464
5,33,131,271
3,96,120,809
2,54,105,649
0,36,299,3379
0,25,103,344
2,25,249,3630
0,82,139,1108
3,36,154,587
2,37,52,133
2,19,54,165
4,15,132,806
0,17,100,651
3,43,315,5844
3,15,109,689
0,14,131,807
2,14,88,292
0,36,193,1643
0,78,351,5325
2,73,352,6744
3,16,196,1885
5,34,182,1212
0,13,141,928
4,91,156,1521
0,27,135,556
3,84,403,6746
0,50,326,5954
1,147,247,3373
0,167,135,888
0,43,294,4063
0,89,368,5963
1,23,85,343
0,70,430,6866
4,37,166,1111
2,15,166,1111
3,25,156,1364
0,38,364,5018
4,67,172,973
4,85,388,6290
0,52,329,4725
3,27,247,2754
0,122,200,1753
5,22,102,516
4,49,390,7459
0,74,124,622
5,43,180,2054
3,51,134,970
0,6,97,395
2,25,216,2677
4,33,156,654
0,18,80,226
0,6,78,102
0,24,154,891
1,23,85,343
3,53,315,5844
5,85,172,973
4,51,390,7459
3,59,272,3539
0,40,149,1019
4,50,294,4249
1,20,54,165
0,114,585,9559
3,23,215,2188
3,40,193,2118
4,40,166,1414
3,23,247,2754
0,48,278,4429
0,58,400,5025
2,29,96,804
4,72,315,5844
2,98,449,5537
5,55,262,3211
0,66,154,553
3,21,220,3450
4,32,67,224
0,48,183,2054
0,8,131,804
3,48,93,545
0,106,440,4637
4,28,166,1111
2,20,54,165
2,20,54,165
